"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Madagascar","Export","Fish","21292","","32858","","31532","","44766","","41393","","25103","","47121","","46675","","36164","","25848","","41277","","48849","","41346","","47991","","53683","","41873",""
"Madagascar","Import","Crustaceans","24","","310","","3","","2","","1","","4685","","966","","1350","","995","","9","","127","","2331","","398","","172","","10","","131",""
"Madagascar","Import","Fish","6632","F","8293","F","13641","F","16512","F","13623","F","12918","","30973","","55444","","24870","","17570","","25936","","38793","","31811","","39280","","31729","","20096",""
"Malawi","Export","Fish","143","","61","F","122","","560","","733","","354","","1554","","259","","294","","198","","276","","451","","270","","254","","156","","136",""
"Malawi","Import","Crustaceans","0","-","7","","4","","5","","1","","1","","1","","0","-","0","-","2","","17","","7","","20","","65","","96","","164",""
"Malawi","Import","Fish","515","","278","","240","","703","","522","","331","","1061","","991","","1218","","2027","","1298","","1377","","967","","1772","","2471","","2283",""
"Mali","Export","Fish","416","F","251","","200","","92","","115","","62","","281","","926","","130","","165","F","84","","249","","60","","102","F","204","F","68","F"
"Mali","Import","Crustaceans","26","","16","","11","","49","","37","","38","","12","","4","","9","","41","F","111","","7","","130","","63","F","369","F","766","F"
"Mali","Import","Fish","1698","","1131","","649","","2366","","3424","","5217","","6478","","6832","","7786","","9601","F","11538","","11042","","11247","","13008","F","24304","F","19592","F"
"Mauritania","Export","Crustaceans","3400","","5381","","5548","","5052","","3626","","1070","","1683","","5554","","5300","","1770","","12081","","21831","","12801","","6400","","24308","","17763","F"
"Mauritania","Export","Fish","36988","","35521","","39590","","32630","","27083","","35042","","37061","","56829","","65239","","33684","","71179","","119067","","142248","","143185","","186394","","203316","F"
"Mauritania","Import","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","19","","0","-","0","-","0","-","0","-","0","-","0","-","16","","36","","30","F"
"Mauritania","Import","Fish","29","","29","","57","","61","","12","","105","","120","","161","","191","","430","","827","","665","","737","","938","","1284","","1265","F"
"Mauritius","Export","Crustaceans","1","","1","","0","-","295","","42","","0","-","42","","37","","1","","0","-","0","-","1","","0","-","3","","0","-","0","0"
"Mauritius","Export","Fish","36607","","63188","","68396","","74388","","83797","","109301","","158128","","194651","","213734","","215488","","252987","","270101","","337159","","369271","","351611","","270489",""
"Mauritius","Import","Crustaceans","5110","","6050","","4393","","5665","","6994","","7057","","8472","","11153","","12646","","9939","","10870","","12904","","14611","","13030","","14112","","12853",""
"Mauritius","Import","Fish","33459","","44762","","121212","","84206","","105693","","133376","","200247","","211284","","285827","","220740","","218350","","281264","","366599","","364567","","317464","","242975",""
"Mayotte","Export","Crustaceans","0",".","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","0","0","-","0","-","6","F","0","-","0","-","0","-","0","-"
"Mayotte","Export","Fish","10","","165","","674","","1055","","746","","689","","851","","837","","868","","748","","741","F","762","F","634","F","588","F","450","F","0","-"
"Mayotte","Import","Crustaceans","111","","181","","128","","242","","177","","227","","238","","350","","425","","319","","182","F","51","F","74","F","28","F","0","-","0","-"
"Mayotte","Import","Fish","885","","1184","","1533","","1759","","1811","","2095","","2592","","2508","","4037","","2940","","2478","F","3351","F","3380","F","3469","F","3002","F","2662","F"
"Morocco","Export","Crustaceans","55810","","53249","","55693","","62062","","58360","","89051","","106168","","154237","","153437","","150026","","173999","","199791","","203296","","191806","","205307","","182848",""
"Morocco","Export","Fish","307915","","356523","","383094","","508526","","503125","","585712","","697899","","718563","","858728","","853439","","810069","","723105","","879252","","947687","","981028","","908832",""
